season,gameday,team,opponent,off_ypp,off_pass_rate,off_explosive_rate,off_sack_rate,off_int_rate,off_pen_yds_pp,off_success_rate
2019,2019-10-20,SEA,BAL,4.9411764705882355,0.5058823529411764,0.058823529411764705,0.023255813953488372,0.023255813953488372,0.6470588235294118,0.23529411764705882
2019,2019-10-20,SF,WAS,4.324324324324325,0.3108108108108108,0.05405405405405406,0.08695652173913043,0.043478260869565216,0.02702702702702703,0.1891891891891892
2019,2019-10-20,TEN,LAC,5.434210526315789,0.40789473684210525,0.05263157894736842,0.06451612903225806,0.03225806451612903,0.5263157894736842,0.27631578947368424
2019,2019-10-20,WAS,SF,2.962962962962963,0.24074074074074073,0.0,0.23076923076923078,0.0,1.1111111111111112,0.16666666666666666
2019,2019-10-20,nan,ARI,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,BAL,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,HOU,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,JAX,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,LA,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,LAC,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,LV,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,MIA,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,MIN,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,NO,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,PHI,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-20,nan,SF,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-21,NE,NYJ,3.2254901960784315,0.46078431372549017,0.0392156862745098,0.0,0.02127659574468085,0.5686274509803921,0.19607843137254902
2019,2019-10-21,NYJ,NE,2.926470588235294,0.5441176470588235,0.014705882352941176,0.02702702702702703,0.10810810810810811,1.3823529411764706,0.16176470588235295
2019,2019-10-21,nan,NE,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-24,MIN,WAS,5.771084337349397,0.3132530120481928,0.07228915662650602,0.11538461538461539,0.0,1.0963855421686748,0.25301204819277107
2019,2019-10-24,WAS,MIN,4.288461538461538,0.4230769230769231,0.038461538461538464,0.18181818181818182,0.045454545454545456,0.5576923076923077,0.2692307692307692
2019,2019-10-24,nan,WAS,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,ARI,NO,3.8225806451612905,0.5483870967741935,0.03225806451612903,0.11764705882352941,0.0,0.3225806451612903,0.16129032258064516
2019,2019-10-27,ATL,SEA,6.0777777777777775,0.5777777777777777,0.06666666666666667,0.038461538461538464,0.019230769230769232,0.6111111111111112,0.32222222222222224
2019,2019-10-27,BUF,PHI,3.527027027027027,0.4594594594594595,0.04054054054054054,0.11764705882352941,0.0,0.8648648648648649,0.20270270270270271
2019,2019-10-27,CAR,SF,4.4625,0.4875,0.0875,0.1794871794871795,0.07692307692307693,0.45,0.2
2019,2019-10-27,CHI,LAC,4.5473684210526315,0.3894736842105263,0.07368421052631578,0.10810810810810811,0.02702702702702703,0.45263157894736844,0.22105263157894736
2019,2019-10-27,CIN,LA,4.408602150537634,0.5376344086021505,0.053763440860215055,0.1,0.0,0.5483870967741935,0.1827956989247312
2019,2019-10-27,CLE,NE,4.1875,0.4375,0.0625,0.14285714285714285,0.02857142857142857,1.025,0.2125
2019,2019-10-27,DEN,IND,3.25,0.42045454545454547,0.03409090909090909,0.10810810810810811,0.0,1.5113636363636365,0.17045454545454544
2019,2019-10-27,DET,NYG,5.166666666666667,0.41025641025641024,0.0641025641025641,0.125,0.03125,0.6923076923076923,0.24358974358974358
2019,2019-10-27,GB,KC,4.795180722891566,0.40963855421686746,0.03614457831325301,0.17647058823529413,0.0,0.6024096385542169,0.25301204819277107
2019,2019-10-27,HOU,LV,4.183673469387755,0.41836734693877553,0.04081632653061224,0.07317073170731707,0.0,1.1734693877551021,0.25510204081632654
2019,2019-10-27,IND,DEN,4.253164556962025,0.3291139240506329,0.02531645569620253,0.15384615384615385,0.0,0.7341772151898734,0.21518987341772153
2019,2019-10-27,JAX,NYJ,4.139784946236559,0.3763440860215054,0.043010752688172046,0.08571428571428572,0.0,0.8387096774193549,0.1827956989247312
2019,2019-10-27,KC,GB,4.694444444444445,0.5138888888888888,0.06944444444444445,0.05405405405405406,0.0,0.06944444444444445,0.2916666666666667
2019,2019-10-27,LA,CIN,6.368421052631579,0.4473684210526316,0.13157894736842105,0.0,0.0,0.5,0.2631578947368421
2019,2019-10-27,LAC,CHI,4.793103448275862,0.5344827586206896,0.05172413793103448,0.03225806451612903,0.03225806451612903,0.896551724137931,0.20689655172413793
2019,2019-10-27,LV,HOU,5.915492957746479,0.43661971830985913,0.09859154929577464,0.0,0.0,0.49295774647887325,0.23943661971830985
2019,2019-10-27,NE,CLE,3.5730337078651684,0.42696629213483145,0.0449438202247191,0.07894736842105263,0.0,0.39325842696629215,0.15730337078651685
2019,2019-10-27,NO,ARI,5.912087912087912,0.4835164835164835,0.08791208791208792,0.022727272727272728,0.022727272727272728,0.27472527472527475,0.32967032967032966
2019,2019-10-27,NYG,DET,4.776470588235294,0.5294117647058824,0.047058823529411764,0.08888888888888889,0.0,0.7647058823529411,0.27058823529411763
2019,2019-10-27,NYJ,JAX,4.014285714285714,0.4857142857142857,0.07142857142857142,0.23529411764705882,0.08823529411764706,1.0714285714285714,0.21428571428571427
2019,2019-10-27,PHI,BUF,4.563218390804598,0.2988505747126437,0.04597701149425287,0.11538461538461539,0.0,0.42528735632183906,0.22988505747126436
2019,2019-10-27,SEA,ATL,4.428571428571429,0.2987012987012987,0.05194805194805195,0.08695652173913043,0.0,0.5844155844155844,0.2597402597402597
2019,2019-10-27,SF,CAR,4.556818181818182,0.2727272727272727,0.06818181818181818,0.125,0.041666666666666664,0.7386363636363636,0.26136363636363635
2019,2019-10-27,TB,TEN,4.347368421052631,0.4631578947368421,0.05263157894736842,0.06818181818181818,0.06818181818181818,0.9157894736842105,0.23157894736842105
2019,2019-10-27,TEN,TB,3.8625,0.4375,0.0625,0.08571428571428572,0.05714285714285714,0.75,0.2
2019,2019-10-27,nan,ARI,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,CAR,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,CIN,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,CLE,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,DEN,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,GB,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,LAC,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,LV,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,NYG,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,NYJ,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,PHI,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,SEA,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-27,nan,TB,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-28,MIA,PIT,3.5522388059701493,0.5074626865671642,0.0,0.11764705882352941,0.058823529411764705,0.29850746268656714,0.23880597014925373
2019,2019-10-28,PIT,MIA,5.130434782608695,0.43478260869565216,0.07608695652173914,0.05,0.05,0.9239130434782609,0.2391304347826087
2019,2019-10-28,nan,MIA,0.0,0.0,0.0,,,0.0,0.0
2019,2019-10-31,ARI,SF,5.328571428571428,0.38571428571428573,0.07142857142857142,0.14814814814814814,0.0,1.2142857142857142,0.24285714285714285
2019,2019-10-31,SF,ARI,4.793103448275862,0.4367816091954023,0.08045977011494253,0.02631578947368421,0.0,0.632183908045977,0.25287356321839083
2019,2019-10-31,nan,SF,0.0,0.0,0.0,,,0.0,0.0
2019,2019-11-03,BAL,NE,4.337209302325581,0.27906976744186046,0.023255813953488372,0.041666666666666664,0.0,0.313953488372093,0.2441860465116279
2019,2019-11-03,BUF,WAS,3.7432432432432434,0.2702702702702703,0.04054054054054054,0.1,0.0,0.33783783783783783,0.24324324324324326
